number,liczby_nut,liczby_parti,dlugosci_utworow,metrum,liczby_uzytych_metrum,liczby_uzytych_tonacji,najwyzsze_dzwieki,najnizsze_dzwieki,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
493,1066,5,560.0,4/2,1,1,77,48,0.8943341282328839,18,110
494,1541,4,1048.0,4/2,1,1,79,46,0.9143229904116702,20,152
495,983,5,492.0,4/2,1,1,74,45,0.9462191380100633,18,109
496,146,5,112.0,4/2,1,1,74,45,0.9132683579463265,18,11
497,692,4,424.0,4/2,1,1,74,48,0.9728753304185086,16,58
498,1215,4,712.0,4/2,1,1,77,48,0.9319032111305798,18,105
499,489,3,360.0,4/2,1,1,79,53,0.894261358817827,16,29
500,1169,4,696.0,4/2,1,1,79,48,0.9197421602480441,19,102
501,1047,5,580.0,4/2,1,1,76,45,0.9324785883583953,19,124
502,397,5,240.0,4/2,1,1,74,45,0.9211453024096811,18,44
503,73,5,36.0,3/2,1,1,74,48,0.8849933904505836,16,6
504,80,5,56.0,4/2,1,1,72,45,0.826710910589106,17,6
505,449,4,312.0,4/2,1,1,69,45,0.9248599520479784,15,49
506,1092,5,600.0,4/2,1,1,76,45,0.907736740757129,19,124
507,1175,4,724.0,4/2,1,1,74,48,0.9461406549173013,16,103
508,525,3,392.0,4/2,1,1,74,48,0.9565550118667098,16,32
509,1199,4,708.0,4/2,1,1,76,48,0.9438637527060706,17,96
510,1152,6,576.0,4/2,1,1,79,46,0.908121120980945,20,143
511,729,4,456.0,4/2,1,1,79,53,0.9161236868731855,16,67
512,835,6,408.0,4/2,1,1,79,46,0.9266130186960797,20,100
513,1422,5,788.0,4/2,1,1,77,46,0.9334517647616711,19,151
514,863,4,552.0,4/2,1,1,77,53,0.9226232022417868,15,99
515,933,5,536.0,4/2,1,1,79,48,0.9626210643069216,19,111
516,1018,4,680.0,4/2,1,1,74,41,0.9295370456394005,20,89
517,650,3,496.0,4/2,1,1,74,48,0.9406857296594813,16,43
518,792,4,512.0,4/2,1,1,74,41,0.9443576970543326,20,78
519,1472,5,856.0,4/2,1,1,74,43,0.9057125743951113,19,191
520,646,3,544.0,4/2,1,1,74,45,0.9167252873710933,18,49
521,1009,5,580.0,4/2,1,1,74,43,0.9117109730392832,19,126
522,875,5,488.0,4/2,1,1,79,46,0.9262588331088096,20,89
523,171,4,112.0,4/2,1,1,77,53,0.8747521547906064,15,8
524,83,4,48.0,3/2,1,1,79,53,0.9184307762716628,16,4
525,366,4,240.0,4/2,1,1,79,53,0.8757797199680285,16,32
526,729,5,400.0,4/2,1,1,79,45,0.9351340152396086,21,62
527,1506,6,784.0,4/2,1,1,79,45,0.9145009110714024,21,254
528,481,4,312.0,4/2,1,1,72,48,0.8791260495459484,15,39
529,588,4,384.0,4/2,1,1,79,48,0.9280340776238061,19,40
530,804,6,384.0,4/2,1,1,79,47,0.9032516483508348,20,110
531,1110,5,608.0,4/2,1,1,79,46,0.9262095041108,20,104
532,566,4,376.0,4/2,1,1,79,53,0.9273038018649884,16,58
533,392,4,256.0,4/2,1,1,70,46,0.9019388094998717,15,36
534,320,5,156.0,3/2,1,1,79,48,0.8957886868121084,19,24
535,580,5,312.0,4/2,1,1,79,46,0.8890818442934058,20,57
536,1312,5,752.0,4/2,1,1,79,46,0.881075381649931,20,152
537,872,4,600.0,4/2,1,1,79,53,0.8574090717254401,16,102
538,1162,5,616.0,4/2,1,1,79,45,0.8787077404032978,21,126
539,1203,4,792.0,4/2,1,1,74,45,0.9209964270461055,18,112
540,564,3,448.0,4/2,1,1,74,48,0.9167022046077778,16,52
541,887,4,568.0,4/2,1,1,74,45,0.9347216326043974,18,85
542,1154,5,672.0,4/2,1,1,79,48,0.8855572011679953,19,141
543,552,4,348.0,4/2,1,1,79,50,0.8970215909118577,18,51
544,1042,5,576.0,4/2,1,1,79,48,0.9147135847355271,19,86
545,1108,6,536.0,4/2,1,1,74,41,0.8885108554026818,20,140
546,479,4,320.0,4/2,1,1,67,43,0.9575202475240009,15,35
547,533,4,344.0,4/2,1,1,74,48,0.9194275758114642,16,37
548,663,6,288.0,4/2,1,1,74,43,0.8576357323092888,19,59
549,1590,5,896.0,4/2,1,1,79,48,0.9114788501730876,19,216
550,653,4,456.0,4/2,1,1,79,55,0.8805237071437833,15,89
551,1044,5,544.0,4/2,1,1,79,52,0.8699650890315049,17,130
552,847,4,656.0,4/2,1,1,69,48,0.9191218213334406,13,67
553,432,3,408.0,4/2,1,1,69,48,0.862371439915325,13,21
554,652,4,480.0,4/2,1,1,69,48,0.9197257534760376,13,61
555,928,4,672.0,4/2,1,1,79,48,0.8564237009730581,19,103
556,472,3,400.0,4/2,1,1,72,48,0.9397522205329533,15,37
557,546,3,480.0,4/2,1,1,77,50,0.930021239693244,17,42
558,494,4,360.0,4/2,1,1,77,48,0.8499432190096529,18,66
559,59,4,36.0,3/2,1,1,76,55,0.7825426977024136,13,5
560,155,4,112.0,4/2,1,1,79,48,0.8235214087275027,19,7
561,1261,6,656.0,4/2,1,1,76,43,0.8895511573552294,20,186
562,626,4,384.0,4/2,1,1,69,45,0.9237616125921628,15,65
563,401,4,248.0,4/2,1,1,74,50,0.8521506954279514,15,47
564,112,6,56.0,4/2,1,1,74,48,0.9169691159214002,16,16
565,269,6,108.0,3/2,1,1,72,43,0.919646345040777,18,43
566,641,6,312.0,4/2,1,1,76,43,0.9288465659510725,20,94
567,873,5,512.0,4/2,1,1,79,45,0.8627409369735405,21,95
568,653,4,408.0,4/2,1,1,79,53,0.9660812247870678,16,58
569,278,5,138.0,3/2,1,1,77,46,0.8898531692986287,19,9
570,425,5,240.0,4/2,1,1,77,46,0.8948604802055591,19,47
571,1285,6,632.0,4/2,1,1,79,48,0.9062869482105197,19,199
572,635,4,408.0,4/2,1,1,79,55,0.9145798850942447,15,49
573,852,6,416.0,4/2,1,1,79,48,0.9347716841069269,19,111
574,995,6,496.0,4/2,1,1,79,45,0.8953507034760013,21,140
575,708,4,448.0,4/2,1,1,79,53,0.9267119731626953,16,53
576,942,6,464.0,4/2,1,1,79,48,0.9064399840868274,19,101
577,998,6,576.0,4/2,1,1,79,48,0.8967382057400708,19,115
578,707,4,520.0,4/2,1,1,79,55,0.8737124483525619,15,85
579,868,6,440.0,4/2,1,1,79,48,0.9253668499233156,19,88
580,1057,6,592.0,4/2,1,1,79,48,0.9522450015106396,19,155
581,232,4,176.0,4/2,1,1,77,48,0.8862342619851529,18,31
582,56,4,36.0,3/2,1,1,77,53,0.843147781567786,15,4
